eval_mode,model_key,rouge1,rouge2,rougeL,bleu,meteor,bertscore_precision,bertscore_recall,bertscore_f1,diversity_score_per_sample_avg,compliance_avg
few_shot,gemma-3-1b,0.202,0.06,0.139,0.045,0.198,0.791,0.84,0.814,0.463,46.474
few_shot,llama-3.2-1b,0.186,0.055,0.119,0.042,0.193,0.8,0.839,0.818,0.426,44.105
few_shot,llama-3.2-3b,0.195,0.042,0.11,0.023,0.188,0.811,0.85,0.83,0.392,57.105
few_shot,mistral-7b-v0.3,0.224,0.076,0.147,0.055,0.216,0.823,0.85,0.835,0.303,62.0
few_shot,olmo-2-1b,0.2,0.068,0.131,0.042,0.207,0.81,0.844,0.826,0.36,56.211
few_shot,olmo-2-7b,0.229,0.071,0.14,0.049,0.211,0.819,0.853,0.835,0.252,73.632
few_shot,phi-3-mini,0.219,0.068,0.14,0.051,0.198,0.817,0.848,0.831,0.554,72.105
few_shot,qwen2.5-1.5b,0.172,0.022,0.092,0.016,0.169,0.807,0.843,0.824,0.439,52.053
few_shot,qwen2.5-3b,0.203,0.063,0.134,0.043,0.221,0.8,0.848,0.822,0.296,67.316
few_shot,smollm2-1.7b,0.216,0.081,0.148,0.05,0.214,0.815,0.843,0.828,0.642,65.684
