eval_mode,model_key,rouge1,rouge2,rougeL,bleu,meteor,bertscore_precision,bertscore_recall,bertscore_f1,diversity_score_per_sample_avg,compliance_avg
fine_tune,gemma-3-1b,0.202,0.042,0.116,0.022,0.203,0.812,0.846,0.828,0.382,47.895
fine_tune,llama-3.2-1b,0.174,0.028,0.101,0.012,0.164,0.804,0.838,0.82,0.437,53.842
fine_tune,llama-3.2-3b,0.197,0.04,0.113,0.02,0.193,0.808,0.845,0.825,0.404,58.263
fine_tune,mistral-7b-v0.3,0.2,0.035,0.109,0.024,0.198,0.813,0.85,0.83,0.377,54.211
fine_tune,olmo-2-1b,0.181,0.039,0.107,0.023,0.172,0.767,0.797,0.781,0.452,46.632
fine_tune,olmo-2-7b,0.195,0.034,0.11,0.016,0.178,0.816,0.846,0.83,0.355,57.368
fine_tune,phi-3-mini,0.193,0.04,0.116,0.024,0.194,0.813,0.845,0.828,0.515,47.789
fine_tune,qwen2.5-1.5b,0.179,0.029,0.097,0.017,0.182,0.802,0.847,0.823,0.427,46.0
fine_tune,qwen2.5-3b,0.194,0.036,0.106,0.016,0.196,0.807,0.844,0.825,0.429,56.053
fine_tune,smollm2-1.7b,0.185,0.037,0.11,0.022,0.197,0.81,0.846,0.827,0.437,50.842
