eval_mode,model_key,rouge1,rouge2,rougeL,bleu,meteor,bertscore_precision,bertscore_recall,bertscore_f1,diversity_score_per_sample_avg,compliance_avg
zero_shot,gemma-3-1b,0.171,0.026,0.107,0.006,0.161,0.78,0.833,0.805,0.397,45.421
zero_shot,llama-3.2-1b,0.181,0.032,0.108,0.015,0.173,0.802,0.839,0.82,0.417,53.947
zero_shot,llama-3.2-3b,0.192,0.032,0.112,0.016,0.186,0.809,0.845,0.826,0.342,65.421
zero_shot,mistral-7b-v0.3,0.202,0.042,0.117,0.018,0.189,0.813,0.844,0.827,0.28,66.947
zero_shot,olmo-2-1b,0.18,0.029,0.102,0.017,0.177,0.809,0.843,0.825,0.298,60.474
zero_shot,olmo-2-7b,0.187,0.03,0.104,0.009,0.184,0.805,0.835,0.819,0.274,62.368
zero_shot,phi-3-mini,0.173,0.029,0.104,0.013,0.171,0.801,0.837,0.818,0.499,66.421
zero_shot,qwen2.5-1.5b,0.166,0.02,0.089,0.012,0.173,0.809,0.841,0.824,0.365,56.316
zero_shot,qwen2.5-3b,0.184,0.03,0.104,0.013,0.184,0.806,0.842,0.823,0.283,71.737
zero_shot,smollm2-1.7b,0.165,0.033,0.098,0.021,0.168,0.799,0.834,0.815,0.541,51.053
